Date,timestamp,open,high,low,close,volume,Signal,quote_av,trades,tb_base_av,tb_quote_av
2022/4/19,2022-04-19 10:00:00+00:00,40665.4,40815.87,40636.74,40795.62,1102.04205,35035.82776,44891077.72,30441,622.67134,25364458.17
2022/4/19,2022-04-19 11:00:00+00:00,40795.61,41026.89,40665.05,40687.3,1361.26984,35600.15413,55581901.26,36668,678.94645,27728569.36
2022/4/19,2022-04-19 12:00:00+00:00,40687.3,41104,40662.26,40975.11,1843.39091,36108.22161,75431200.61,44843,971.67795,39758746.72
2022/4/19,2022-04-19 13:00:00+00:00,40975.12,41472.34,40841.65,41451.52,4784.33766,37609.81229,196918700.2,75794,2608.02001,107349191.2
2022/4/19,2022-04-19 14:00:00+00:00,41451.52,41687.14,41380.5,41565.91,3945.51147,38399.72447,163948864.9,78545,1947.81883,80935326.39
2022/4/19,2022-04-19 15:00:00+00:00,41565.92,41760,41371.81,41445.87,2627.42342,39767.91956,109162789.1,66121,1372.18215,57013687.23
2022/4/19,2022-04-19 16:00:00+00:00,41445.88,41546.63,41236.55,41342.26,2102.87183,41166.51749,87081139.71,60504,913.99854,37842497.52
2022/4/19,2022-04-19 17:00:00+00:00,41342.25,41370.01,41167.92,41345.63,1420.25709,41137.61586,58643481.03,48059,574.38843,23715651.72
2022/4/19,2022-04-19 18:00:00+00:00,41345.63,41503.76,41312.31,41400.55,1132.24277,40997.53586,46871750.3,42422,534.99652,22148660.8
2022/4/19,2022-04-19 19:00:00+00:00,41400.56,41547.65,41362.02,41417.24,1340.95499,40255.38732,55583033.22,44297,670.03521,27772801.74
2022/4/19,2022-04-19 20:00:00+00:00,41417.23,41417.25,41212.94,41293.15,1157.40014,39759.29283,47792412.76,37642,564.91742,23325884.92
2022/4/19,2022-04-19 21:00:00+00:00,41293.15,41391.24,41260,41313.07,609.70504,39884.15916,25186185.69,22308,328.7677,13580384.03
2022/4/19,2022-04-19 22:00:00+00:00,41313.08,41460.52,41265.86,41395.39,702.11,39478.69802,29050913.84,23815,330.01113,13654393.63
2022/4/19,2022-04-19 23:00:00+00:00,41395.38,41539.9,41395.38,41493.18,850.49595,39026.01861,35269640.78,22594,396.50601,16441271.68
2022/4/20,2022-04-20 00:00:00+00:00,41493.19,41541.23,41250.26,41295.37,1226.31947,38936.65368,50763275.82,35252,508.56187,21051672.9
